post	target	implied_statement
jihad pays . trudeau to give $ 8m & apology to ex-gitmo jihadi who murdered an american soldier . this isn't ...	Muslims	Muslims hate Americans.
instead of washing muslims feet  apologizing for islam . francis should watch this video .	Muslims	Muslims are inferior.
no one cares about whites . dangerious minoritys are taking our country ! thx for sharing brother . #14words #teaparty	Minorities	Minorities commit violent crime.
what anti-white leftists think about #brexit	Progressives	Progressives are against whites.
hollywood  the news media  the entertainment media and the publishing industry are all dominated by jews :	Jews	Jews rule the entertainment industries.
ohio needs to be white again !	white people	White people are better than other races.
so proud of my girls ! i've always argued feminist victimhood tactics are one of the good kinds of identity politics .	feminists	feminists engage in identity politics
not a white supremacist hate the kkk  neo-nerds  blm & anquifa  isis well all sissy terrorists . i got a rebel flag because i'm a rebel . america	Blacks	Blacks are terrorists.
"  "" un data says sweden had 2nd highest rate of rape in the world . data suggest uptick is due to immigrants "" "" violent ... """	immigrants	Immigrants are violent criminals.
no ... that makes you stupid whether ur black or white ... oh ... did i also mention ignorant	Black folks	Black folks are stupid
rankin and madison counties are the recipients of white flight from hinds county .. they are the places to be now	Minorities	Minorities degrade communities.
my child cannot pray in public schools where is the outrage #islamistheproblem deport islam	Muslims	Muslims oppress whites
jews as a whole r enemies of christ  his followers  & white western civilization n general	Jews	Jews hate Christians and whites.
she doesn't want to be white  she married a stinking jew .	jewish people	Jewish people are inferior to white people.
originator of the white genocide mantra will be hosting a discussion on white genocide . please rt .	Minorities	Minorities are looking to destroy the white race.
if you don't put your money where your mouth and heart are then you don't care . donate to a pro-white organization today !	Minorities	Minorities are subpar to whites.
eventually the non white leftists will turn on their white comrades ( its already happening ) + kill !	Leftists	Leftists don't like white people.
: more diversity in obama's america : white couple brutally beaten by racist negroes for no reason	Black people	Black people hate white people
we must . we have too : dr . david duke : will the white race survive ? ( video ) )	whites	whites are declining in America
" ah  the joys of diversity :  "" : south africas police arresting young women to rape them ... via "" "" """	police	Police are criminals.
hitler didn't think like you . jews were white  and they were killed ? ! main purpose is saving the people who is useful to the world + +	Minorities	Minorities are subhuman
this is the same hom sec that bans and from uk cos the speak truth about islam	Muslims	Muslims are devious
don't reform anything . it's simple follow the laws on the books . come here legally or get deported . can't wait for 2018	Immigrants	Immigrants are lawbreakers
no  it's just for white people advocating for their interests .	Whites	Whites get special privilege.
"  "" white "" "" jews feel nothing 4 the lives of whites ! they only care about jews ! """	Jews	Jews don't care about white people.
so by your made up def of race then anyone who criticizes a religion is racist . especially i slam . #urkiddingme	Islamic people	Islamic people are racist.
another l for the white people y'all need to get her asap	Minorities	Minorities are inferior to whites
